query_field,group,k,count,recall,mrr,ndcg
question,overall,5,696,0.5775862068965517,0.4869252873563218,0.5095400669952819
question,overall,10,696,0.6235632183908046,0.4931975232621784,0.524549065263329
question,hybrid,5,195,0.7025641025641025,0.6285470085470085,0.6471322128867171
question,hybrid,10,195,0.7333333333333333,0.6325763125763125,0.6570220907011253
question,text,5,369,0.7181571815718157,0.5862691960252935,0.6191032658964941
question,text,10,369,0.7886178861788617,0.5959704477997161,0.6421865629717007
question,image,5,132,0.0,0.0,0.0
question,image,10,132,0.0,0.0,0.0
